ID,UUID,Revision ID,Language,Content type,Revision create time,Revision user,Revision log message,Published,Authored by,Name,Authored on,Changed,Promoted to front page,Sticky at top of lists,Default translation,Default revision,Revision translation affected,URL alias,Menu link,Task Description,Feeds item,Active,Comments,Contact,Data Update Responsibility,Dataset Based on,Dataset License,Dataset Extent,Dataset Review Period,Dataset Type,Deliverable,Dependants,Downloadable,ECHOES Classification,ECHOES ID,id,Input Format,Inspire Theme,Layer,Lineage Statement,Mapping Service Format,Notes,Progress,Link to code repository using data,Required Data,Scale/Resolution,Schema,Source Providers,Spatial Reference System,Store,Table,Tag(s),Time Period,Type,Update Frequency,Viewable,Web Service URL,WorkSpace
21,718d44cc-84fa-4467-83f6-0dedf89cbf11,70,en,dataset,1601301569,1,,,,Species Distribution Areas,1600858778,1607337314,,,1,1,1,/dataset/species-distribution-areas,,Parameterize Species Distribution Modelling based on combination of Land cover and habitat maps received from WP5 and Atlas and bird distribution data,2,1,2,,37,,,,24,,8,D3.2,1,,1,,39,,,"<p>combine new land cover and broad habitat maps received from WP 5, with comparable atlas and bird distribution data acquired for coastal habitats of Ireland (BirdWatch Ireland) and Wales (BTO Wales). Such atlas data will take the form of presence-absence in map grids or count data from standard walked transects or dual belt transects in specific wetland locations (WeBS: Wetland Bird Survey; Core (wetland sites) and Low (tide) count data).</p>
",,,110,,new land cover and broad habitat maps received from WP 5,10 metres,,37,,,,,Ongoing,53,24,1,,
23,47747338-5eac-49a3-b2df-bab8cc28e4dc,71,en,dataset,1601299167,1,,,,Species Land Use Areas,1600858778,1607337314,,,1,1,1,/dataset/species-land-use-areas,,"Space and habitat use by target birds to resolve habitat use within wetland sites, derived from analysis of bird and field surveys of vegetation",2,1,2,,37,,,,24,21,10,,1,38,3,,39,40,,"collate individual, submitted records for the target goose and wader species in coastal habitats in Ireland (National Biodiversity Centre) and Wales (West Wales Biodiversity Information Centre; Cofnod - North Wales Environmental Information Service). The analysis will be refined to determine habitat associations at finer resolution derived from aggregated point records of target bird species.",41,,110,,,10 metres,,37,42,,,,Ongoing,53,24,1,,
33,e2896be7-0ead-4289-8144-904a587e1ddb,72,en,dataset,1600873996,1,,,,Selected climate change scenarios,1600858778,1607337314,,,1,1,1,/dataset/selected-climate-change-scenarios,,Incorporation of bio-climate data and climate change scenarios into ECHOES platform,2,1,,,43,,,,24,21,20,WP7,1,49,13,,39,50,,,41,,,,WP3,10 m,,43,42,,,,Ongoing,53,24,1,,
32,3abe858f-7e77-425b-bf15-78a4faf174f4,73,en,dataset,1600873985,1,,,,Forecasted Climate Condition Data,1600858778,1607337314,,,1,1,1,/dataset/forecasted-climate-condition-data,,Vulnerability maps and indices for current and future situation across different RCP scenarios,2,1,,,43,,,,24,21,19,WP6,1,49,12,,39,50,,,41,,110,,WP3 + WP4,10 m,,43,42,,,,Ongoing,53,24,1,,
31,90a382fa-2134-4648-ab86-18196833ae3e,74,en,dataset,1600873975,1,,,,Climate Condition Data,1600858778,1607337314,,,1,1,1,/dataset/climate-condition-data,,Vulnerability maps and indices for the current situation,2,1,,,43,,,,24,21,18,WP5,1,49,11,,39,50,,"Baseline climate data for the region of interest will be sourced from available datasets for Ireland and Wales and will include e.g., annual/seasonal/monthly temperature, precipitation, solar radiation, wind conditions, humidity, soil moisture and land-cover wherever available. To optimize efficiency, prevent overfitting and minimize collinearity, a set of preselected variables will be tested to establish the most fit-for-purpose set for inclusion in the SDM analysis.",41,,110,,Raw Data,10 m,,43,42,,,,Ongoing,53,24,1,,
30,b323848c-e9d9-494e-bef8-2d6666a912af,75,en,dataset,1600873963,1,,,,Species Abundance,1600858778,1607337314,,,1,1,1,/dataset/species-abundance,,Species response curves,2,1,,,43,,,,24,22,17,WP4,1,49,10,,46,50,,Significant discriminating bioclimatic controls for species and habitat distribution will be detected and spatial patterns of bioclimatic zones will be identified and mapped.,47,,110,,Raw Data,"1:62,141",,43,42,,,,Ongoing,53,24,1,,
29,f6d43186-eb44-446c-9acd-d0dfa379bc61,76,en,dataset,1600873949,1,,,,Simulated Habitat Change,1600858778,1607337314,,,1,1,1,/dataset/simulated-habitat-change,,Automatic change detection approach for integration into the ECHOES platform,2,1,,,43,,,,24,21,16,WP 3 + 4,1,48,9,,39,51,,an automated approach to change will be explored based on a time series profile of spectral reflectance or vegetation indices.,41,,110,,Raw Data,10 m,,43,42,,,,Ongoing,53,24,1,,
28,866c333e-7aa1-4d4d-86bd-6f02fbe49ff7,77,en,dataset,1600873937,1,,,,Forecasted Land Use,1600858778,1607337314,,,1,1,1,/dataset/forecasted-land-use,,Trajectories of habitat / land cover and environmental change for the field sites -> Model datasets,2,1,,,43,,,,24,21,15,WP 3 + 4,1,48,8,,39,51,,"Using available historic imagery, habitat/land cover maps from years prior to the baseline year will be generated to better understand the dynamics of change at the field sites. These will be produced at the best resolution possible, given that historic data may not be as readily available as contemporary data, and over as long a period as imagery allows, potentially at multi-annual steps. These changes will act as a guide to the climate modelling studies of WP6 to indicate short-term variability at the selected sites relatively independently of climate change.",41,,110,,Raw Data,10m,,43,42,,,,Ongoing,53,24,1,,
27,6a529236-31ba-4153-895d-c01f7f28c7b5,78,en,dataset,1600873923,1,,,,Field Site Habitats,1600858778,1607337314,,,1,1,1,/dataset/field-site-habitats,,Habitat and land cover maps for the field sites for the baseline year ( when field data are collected) -> separate datasets,2,1,,,43,,,,24,22,14,WP 3 + 4,1,48,7,,44,51,,,47,,110,,Raw Data,"1:62,141",,43,42,,,,Ongoing,53,24,1,,
26,888dec00-14e3-4a8c-bdbf-769ee087381d,79,en,dataset,1600873912,1,,,,Habitat Land use,1600858778,1607337314,,,1,1,1,/dataset/habitat-land-use,,Dataset of pre-processed satellite and UAV imagery covering the field sites,2,1,,,43,,,,24,21,13,WP 3 + 4,1,48,6,,39,51,,"Primarily this focuses on (a) the desired and minimum spatial resolution, (b) the desired and minimum species mapping level, and (c) the time frame over which a trajectory of habitat change needs to be established.",41,,,,Raw Data,10 m,,43,42,,,,Ongoing,53,24,1,,
